"PR"	"URL"	"HTTP status code"	"Content type"	"Is indexable page"	"Title"	"Title length"	"Meta description"	"Meta description length"	"H1"	"H1 length"	"Meta robots"	"Robots information in HTTP headers"	"Canonical URL"	"Canonical URL code"	"Size (bytes)"	"No. of content words"	"Depth"	"No. of href inlinks"	"No. of inlinks dofollow"	"No. of internal outlinks"	"No. of external outlinks"	"Loading time (ms)"	"Organic traffic"	"No. of backlinks"	"No. of dofollow backlinks"	"No. of nofollow backlinks"	"No. of referring domains"	"No. of referring pages"
"20"	"https://cindemirlaw.com/gokhan-cindemir-3/"	"200"	"text/html; charset=utf-8"	"true"	"Hakan Cindemir | Cindemir Law Office"	"36"	"Profile of Hakan Cindemir, including professional background, practice areas and contact context at Cindemir Law Office."	"120"	"Hakan Cindemir"	"14"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/gokhan-cindemir-3/"	"200"	"155259"	"169"	"0"	"3"	"3"	"14"	"4"	"778"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/%D0%BA%D0%B0%D0%BA-%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D1%82%D1%8C-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8E-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D0%BF%D0%BE%D1%88%D0%B0%D0%B3%D0%BE%D0%B2/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Как открыть компанию в Турции: Пошаговое руководство - Cindemir Law Office"	"74"	"Узнайте, как пройти регистрацию компании в Турции быстро и без лишней бюрократии. Подходит для иностранных инвесторов."	"118"	"Как открыть компанию в Турции: Пошаговое руководство"	"52"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/%D0%BA%D0%B0%D0%BA-%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D1%82%D1%8C-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8E-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D0%BF%D0%BE%D1%88%D0%B0%D0%B3%D0%BE%D0%B2/?lang=ru"	"200"	"164512"	"577"	"1"	"0"	"0"	"14"	"3"	"799"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/link25/?lang=zh-hans"	"200"	"text/html; charset=utf-8"	"true"	"公司及商业 - Cindemir Law Office"	"27"	"我们提供广泛的企业和商业法律服务，包括银行金融、公司合并、私有化、会计、合资企业、保险、投资和房地产，并可协助企业在土耳其与当地合作伙伴协作和运营。我们提供托管协议、土地纠纷、证券、就业、建筑、保险和医疗过失等各种领域的解决方案。"	"115"	"公司及商业"	"5"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/link25/?lang=zh-hans"	"200"	"160114"	"143"	"1"	"0"	"0"	"12"	"2"	"769"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/pig-butchering-cryptocurrency-scam-key-risks-and-legal-considerations-for-investors-in-turkey/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"pig-butchering crypto scam Turkey"	"33"	"Learn how pig-butchering crypto scams target investors, particularly in Turkey, and understand key legal considerations and compliance requirements for secure digital-asset investment."	"184"	"Криптовалютное мошенничество «Pig-Butchering» в Турции: риски для инвесторов и правовая среда"	"93"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/pig-butchering-cryptocurrency-scam-key-risks-and-legal-considerations-for-investors-in-turkey/?lang=ru"	"200"	"164080"	"614"	"1"	"0"	"0"	"14"	"2"	"781"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/how-to-divorce-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"How To Divorce in Turkey"	"24"	"This article aims to give details regarding divorce procedure in Turkey. Divorcing a Turkish and divorce if married in turkey situations are explained."	"151"	"Divorce in Turkey"	"17"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/how-to-divorce-in-turkey/"	"200"	"160026"	"785"	"0"	"3"	"3"	"22"	"4"	"785"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/obtaining-a-criminal-record-certificate-in-turkey-a-step-by-step-guide/"	"200"	"text/html; charset=utf-8"	"true"	"Obtaining a Criminal Record Certificate in Turkey | Turkish Law"	"63"	"Explains Obtaining a Criminal Record Certificate in Turkey, including procedure, risk assessment and rights of foreign nationals under Turkish law."	"147"	"Obtaining a Criminal Record Certificate in Turkey: A Step-by-Step Guide"	"71"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/obtaining-a-criminal-record-certificate-in-turkey-a-step-by-step-guide/"	"200"	"166692"	"768"	"0"	"12"	"12"	"32"	"6"	"752"	"0"	"4"	"0"	"4"	"2"	"4"
"20"	"https://cindemirlaw.com/some-notes-about-opening-a-bank-account-for-a-foreign-company-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Bank Account for Foreign Companies in Turkey | Cindemir Law Office"	"66"	"Explains Bank Account for Foreign Companies in Turkey, including payment security, contractual structure and practical risks in transactions."	"141"	"Some Notes about Opening a Bank Account for a Foreign Company in Turkey"	"71"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/some-notes-about-opening-a-bank-account-for-a-foreign-company-in-turkey/"	"200"	"162940"	"480"	"0"	"15"	"15"	"28"	"4"	"780"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd82fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Cертифицированный бухгалтер и финансовый консультант"	"52"	"Опытный бухгалтер с более чем 20-летним стажем работы, окончивший Экономический факультет Университета Мармара в Стамбуле."	"122"	"Танер Чевик, Независимый сертифицированный бухгалтер и финансовый консультант"	"77"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd82fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/?lang=ru"	"200"	"158214"	"259"	"1"	"0"	"0"	"12"	"2"	"790"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/hakan-cindemir-3/"	"200"	"text/html; charset=utf-8"	"true"	"Cenker Değirmenci | Cindemir Law Office"	"39"	"Profile of Cenker Değirmenci, including professional background, practice areas and contact context at Cindemir Law Office."	"123"	"Cenker Değirmenci"	"17"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/hakan-cindemir-3/"	"200"	"155395"	"168"	"0"	"3"	"3"	"15"	"4"	"751"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/link15/?lang=zh-hans"	"200"	"text/html; charset=utf-8"	"true"	"银行及金融 - Cindemir Law Office"	"27"	"我们为国内金融机构提供多种服务，包括贷款结构和安全性的起草、安全文件实施和刑事案件处理等。此外，我们还提供家庭、遗嘱和信托方面的咨询服务，以及培训和法律代表服务。"	"81"	"银行及金融"	"5"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/link15/?lang=zh-hans"	"200"	"159677"	"147"	"1"	"0"	"0"	"11"	"2"	"814"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/irish-tourist-s-attorney-gokhan-cindemir-s-press-statement/"	"200"	"text/html; charset=utf-8"	"true"	"Irish Tourist 's attorney Gokhan Cindemir 's press statement in Turkey"	"70"	"Legal news and media note on Irish Tourist 's attorney Gokhan Cindemir 's press statement, with context from Cindemir Law Office in Turkey."	"139"	"Irish Tourist ‘s attorney Gokhan Cindemir ‘s press statement."	"61"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/irish-tourist-s-attorney-gokhan-cindemir-s-press-statement/"	"200"	"155742"	"198"	"0"	"3"	"3"	"15"	"4"	"746"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/alternative-dispute-resolutions-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Alternative Dispute Resolutions In Turkey | Cindemir Law Office"	"63"	"Explains Alternative Dispute Resolutions In Turkey, including procedures, documents, risks and key legal points for foreign clients."	"132"	"Alternative Dispute Resolutions In Turkey"	"41"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/alternative-dispute-resolutions-in-turkey/"	"200"	"164206"	"1542"	"0"	"3"	"3"	"26"	"4"	"751"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/financial-rights-of-daughters-under-turkish-social-security-law/"	"200"	"text/html; charset=utf-8"	"true"	"Financial Rights of Daughters under Turkish Social Security Law"	"63"	"Explains Financial Rights of Daughters under Turkish Social Security Law, including procedures, documents for foreign clients."	"126"	"Financial Rights of Daughters under Turkish Social Security Law"	"63"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/financial-rights-of-daughters-under-turkish-social-security-law/"	"200"	"162254"	"799"	"0"	"3"	"3"	"30"	"4"	"751"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/appointment/"	"200"	"text/html; charset=utf-8"	"true"	"Appointment Page - Cindemir Law Office"	"38"	"Appointment page of Cindemir Law office is set up here. You can get appointment from here by registration of an application called booly"	"136"	"Appointment"	"11"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/appointment/"	"200"	"152945"	"116"	"0"	"0"	"0"	"11"	"4"	"743"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/our-articles/"	"200"	"text/html; charset=utf-8"	"true"	"OUR ARTICLES in Turkey | Legal Overview"	"39"	"Explains OUR ARTICLES in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"113"	"OUR ARTICLES"	"12"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/our-articles/"	"200"	"155646"	"152"	"0"	"3"	"3"	"14"	"4"	"744"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/our-articles-3/"	"200"	"text/html; charset=utf-8"	"true"	"土耳其我们的服务 | Cindemir"	"19"	"本文概述土耳其我们的服务相关法律问题，包括程序、文件、风险和外国客户常见注意事项。"	"41"	"我们的服务"	"5"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/our-articles-3/"	"200"	"156256"	"175"	"0"	"3"	"2"	"14"	"4"	"741"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE-%D0%BF%D0%BE-%D0%BF%D1%80%D0%B8%D0%BE%D0%B1%D1%80%D0%B5%D1%82%D0%B5%D0%BD%D0%B8%D1%8E-%D0%B8%D0%BD%D0%BE%D1%81%D1%82%D1%80%D0%B0/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"РУКОВОДСТВО ПО ПРИОБРЕТЕНИЮ ИНОСТРАННЫМИ"	"40"	"Руководство по приобретению иностранной недвижимости: узнайте, как безопасно и выгодно инвестировать за рубежом. Получите советы по выбору страны, правовым аспектам и финансовому планированию. Обеспечьте успешную покупку с нашей помощью."	"237"	"РУКОВОДСТВО ПО ПРИОБРЕТЕНИЮ ИНОСТРАННЫМИ ГРАЖДАНАМИ ТУРЕЦКОГО ГРАЖДАНСТВА"	"73"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE-%D0%BF%D0%BE-%D0%BF%D1%80%D0%B8%D0%BE%D0%B1%D1%80%D0%B5%D1%82%D0%B5%D0%BD%D0%B8%D1%8E-%D0%B8%D0%BD%D0%BE%D1%81%D1%82%D1%80%D0%B0/?lang=ru"	"200"	"176898"	"372"	"1"	"0"	"0"	"14"	"2"	"814"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/support/"	"200"	"text/html; charset=utf-8"	"true"	"Russian Speaking Law Firm in Istanbul, Turkey"	"45"	"We are a dynamic, independent Turkish law office operating in Istanbul since 2004, providing the highest quality of legal service to international organisations and businesses as well as individuals."	"199"	"Support"	"7"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/support/"	"200"	"154486"	"446"	"0"	"1"	"1"	"16"	"4"	"810"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/services/?lang=zh-hans"	"200"	"text/html; charset=utf-8"	"true"	"Legal Services in Turkey - Cindemir Law Office"	"46"	"Cindemir Law Office is providing legal services in Turkey, Istanbul. Cindemir Law Office -"	"90"	"我們的法律服務"	"7"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/services/?lang=zh-hans"	"200"	"160806"	"180"	"1"	"0"	"0"	"8"	"2"	"796"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/irish-boxer-acquitted-in-epic-brawl-case/"	"200"	"text/html; charset=utf-8"	"true"	"Irish 'boxer' acquitted in epic brawl case in Turkey | Legal Overview"	"69"	"Legal news and media note on Irish 'boxer' acquitted in epic brawl case, with context from Cindemir Law Office in Turkey."	"121"	"Irish ‘boxer’ acquitted in epic brawl case – Sabah Daily News
Irish ‘boxer’ acquitted in epic brawl case"	"61
42"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/irish-boxer-acquitted-in-epic-brawl-case/"	"200"	"164967"	"837"	"0"	"9"	"9"	"27"	"7"	"860"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/eu-representative-services-for-non-eu-companies-under-the-gdpr/"	"200"	"text/html; charset=utf-8"	"true"	"EU Representative Services under GDPR in Turkey | Cindemir Law Office"	"69"	"Explains EU Representative Services under GDPR in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"138"	"EU Representative Services for Non-EU Companies under the GDPR"	"62"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/eu-representative-services-for-non-eu-companies-under-the-gdpr/"	"200"	"158735"	"467"	"0"	"3"	"3"	"24"	"4"	"768"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/news-events/"	"200"	"text/html; charset=utf-8"	"true"	"News & Events - Cindemir Law Office"	"35"	"Stay updated with Cindemir Law Office – Explore the latest legal news, events, and insights on Turkish and international law. Follow our updates for expert analysis and industry trends."	"185"	""	""	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/news-events/"	"200"	"151913"	"116"	"0"	"1"	"1"	"11"	"4"	"736"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb3fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Гокхан Синдемир, Адокат в суде - Cindemir Law Office"	"52"	"Он специализируется на международном частном праве, европейском праве, семейном праве, трудовом праве, праве недвижимости."	"122"	"Гокхан Синдемир, Адокат в суде"	"30"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb3fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"164550"	"367"	"1"	"0"	"0"	"18"	"2"	"772"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/turkish-procedural-law/"	"200"	"text/html; charset=utf-8"	"true"	"Turkish Procedural Law"	"22"	"Subsequent to establishment of modern Turkish Republic, the law regarding procedureal law had been changed in the light of Swiss law in 1927."	"141"	"Turkish Procedural Law"	"22"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/turkish-procedural-law/"	"200"	"159466"	"820"	"0"	"3"	"3"	"22"	"4"	"773"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/starting-a-company-in-turkey-a-comprehensive-guide-for-entrepreneurs/"	"200"	"text/html; charset=utf-8"	"true"	"Starting a Company in Turkey | Cindemir Law Office"	"50"	"Explains Starting a Company in Turkey, including company procedures, governance, compliance and key points for foreign investors."	"129"	"Starting a Company in Turkey: A Comprehensive Guide for Entrepreneurs"	"69"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/starting-a-company-in-turkey-a-comprehensive-guide-for-entrepreneurs/"	"200"	"159225"	"682"	"0"	"4"	"4"	"23"	"4"	"739"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/new-crypto-asset-regulation-of-turkey-and-understanding-provisions-related-to-crypto-asset-service-providers-casps/"	"200"	"text/html; charset=utf-8"	"true"	"New Crypto Asset Regulation in Turkey | Cindemir Law Office"	"59"	"Explains New Crypto Asset Regulation in Turkey, focusing on crypto regulation, compliance risks and practical points for foreign clients."	"137"	"New Crypto Asset Regulation of Turkey and Understanding Provisions related to Crypto Asset Service Providers (CASPs)"	"116"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/new-crypto-asset-regulation-of-turkey-and-understanding-provisions-related-to-crypto-asset-service-providers-casps/"	"200"	"162158"	"763"	"0"	"4"	"4"	"29"	"4"	"792"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/privacy-policy-in-turkish-law/"	"200"	"text/html; charset=utf-8"	"true"	"Privacy Policy in Turkish Law | Cindemir Law Office"	"51"	"Explains Privacy Policy in Turkish Law, including procedures, documents, risks and key legal points for foreign clients."	"120"	"Privacy Policy in Turkish Law"	"29"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/privacy-policy-in-turkish-law/"	"200"	"162777"	"561"	"0"	"9"	"9"	"29"	"4"	"770"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/inheritance-investigation-in-turkey-guiding-international-heirs-through-a-complex-process/"	"200"	"text/html; charset=utf-8"	"true"	"Inheritance Investigation in Turkey | Cindemir Law Office"	"57"	"Explains Inheritance Investigation in Turkey, including heirs, probate, documents and practical risks for foreign families."	"123"	"Inheritance Investigation in Turkey: Guiding International Heirs Through a Complex Process"	"90"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/inheritance-investigation-in-turkey-guiding-international-heirs-through-a-complex-process/"	"200"	"163973"	"677"	"0"	"5"	"5"	"29"	"4"	"795"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd81fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Семейное право - Cindemir Law Office"	"36"	"Наша фирма специализируется на вопросах, связанных с семьей и супружескими спорами. Мы стремимся помочь сторонам достичь урегулирования споров без обращения в суд."	"163"	"Семейное право"	"14"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd81fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/?lang=ru"	"200"	"159446"	"244"	"1"	"0"	"0"	"14"	"2"	"818"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/%D1%82%D1%83%D1%80%D0%B8%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/"	"200"	"text/html; charset=utf-8"	"true"	"Туристическое право в Турции - Cindemir Law Office"	"50"	"Туристическое право в Турции: помощь для гостиниц, турагентств, пакетных туров, краткосрочной аренды и иностранных инвесторов."	"126"	"Туристическое право в Турции"	"28"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/%D1%82%D1%83%D1%80%D0%B8%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/"	"200"	"173327"	"1208"	"0"	"3"	"3"	"15"	"4"	"767"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/definition-regarding-conflict-of-laws-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Definition Regarding Conflict of Laws in Turkey | Cindemir Law Office"	"69"	"Explains Definition Regarding Conflict of Laws in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"138"	"Definition Regarding Conflict of Laws in Turkey"	"47"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/definition-regarding-conflict-of-laws-in-turkey/"	"200"	"168016"	"910"	"0"	"10"	"10"	"32"	"4"	"992"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/hakan-cindemir-2/"	"200"	"text/html; charset=utf-8"	"true"	"Hakan Cindemir Profile in Turkey | Legal Overview"	"49"	"Explains Hakan Cindemir Profile in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"123"	"Hakan Cindemir Profile"	"22"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/hakan-cindemir-2/"	"200"	"155417"	"188"	"0"	"3"	"3"	"14"	"4"	"727"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdbdfde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Недвижимость и Передача прав на имущество - Cindemir Law Office"	"63"	"Мы предоставляем широкий спектр юридических услуг, включая преобразование, слияние, разделение и раздел земельных участков."	"123"	"Недвижимость и Передача прав на имущество"	"41"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdbdfde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/?lang=ru"	"200"	"158407"	"305"	"1"	"0"	"0"	"13"	"2"	"793"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/understanding-spks-introduction-guide-for-information-systems-independent-audit/"	"200"	"text/html; charset=utf-8"	"true"	"SPK Information Systems Audit Guide in Turkey | Legal Overview"	"62"	"Explains SPK Information Systems Audit Guide in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"136"	"Understanding SPK’s Introduction Guide for Information Systems Independent Audit"	"80"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/understanding-spks-introduction-guide-for-information-systems-independent-audit/"	"200"	"168675"	"1176"	"0"	"3"	"3"	"31"	"8"	"784"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/enforcement-of-uk-judgments-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Enforcement of UK judgments in Turkey"	"37"	"This article is aim to explain how to enforce UK judgments in Turkey. Uk Decrees are generally enforceable in Turkey based on high court decision."	"146"	"Enforcement of UK judgments in Turkey"	"37"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/enforcement-of-uk-judgments-in-turkey/"	"200"	"165309"	"829"	"0"	"15"	"15"	"33"	"4"	"817"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/paternity-in-turkish-law-under-new-turkish-constitution-court-decision/"	"200"	"text/html; charset=utf-8"	"true"	"Paternity in Turkish Law"	"24"	"In this article I tried to explained the new development in Turkish Law upon Turkish Constitution Court Decision."	"113"	"Paternity in Turkish Law"	"24"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/paternity-in-turkish-law-under-new-turkish-constitution-court-decision/"	"200"	"164551"	"752"	"0"	"11"	"11"	"31"	"4"	"814"	"0"	"2"	"0"	"2"	"2"	"2"
"20"	"https://cindemirlaw.com/%D1%82%D0%B8%D0%BF%D1%8B-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"типы компаний в Турции - Cindemir Law Office"	"44"	"Тип компаний в Турции упоминается в этой статье. Турецкий коммерческий код разъясняется относительно типов компаний"	"115"	"типы компаний в Турции"	"22"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/%D1%82%D0%B8%D0%BF%D1%8B-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/?lang=ru"	"200"	"164336"	"704"	"1"	"0"	"0"	"13"	"2"	"760"	"0"	"0"	"0"	"0"	"0"	"0"
